keyword,frequency,japanese,german,chinese,spanish
ceramic,4,セラミック,Keramik,陶瓷制品,cerámico
biocompatibility,2,生体適合性,Biokompatibilität,生物相容性,biocompatibilidad
scaffold,2,足場,Gerüst,脚手架,andamio
bone,2,骨,Knochen,骨,hueso
crystalline,2,結晶,kristallin,结晶,cristalino
biocompatibility,2,生体適合性,Biokompatibilität,生物相容性,biocompatibilidad
fusion,2,融合,Fusion,融合,fusión
regeneration,2,再生,Regeneration,再生,regeneración
standard,2,標準,Standard,标准,estándar
corrosion,1,腐食,Korrosion,腐蚀,corrosión
modeling,1,モデリング,Modellieren,造型,modelado
fabrication,1,製造,Herstellung,制造,fabricación
orthopedic,1,整形外科,orthopädisch,骨科,ortopédico
implant,1,インプラント,implantieren,注入,implante
amorphous,1,アモルファス,amorph,无定形,amorfo
corrosion,1,腐食,Korrosion,腐蚀,corrosión
extrusion,1,押し出し,Extrusion,挤压,extrusión
fabrication,1,製造,Herstellung,制造,fabricación
morphology,1,形態,Morphologie,形态学,morfología
biomaterial,1,生体材料,Biomaterial,生物材料,biomaterial
introduction,1,導入,Einführung,介绍,introducción
journal,1,ジャーナル,Zeitschrift,杂志,diario
literature,1,文学,Literatur,文学,literatura
method,1,方法,Verfahren,方法,método
modeling,1,モデリング,Modellieren,造型,modelado
repair,1,修理,reparieren,维修,reparar
response,1,応答,Antwort,回复,respuesta
strategy,1,戦略,Strategie,战略,estrategia
technology,1,テクノロジー,Technologie,技术,tecnología
time,1,時間,Zeit,时间,tiempo
